"version_ID","master_ID","publication","publication_year","local_path","DR_group_ID","locality","country","lat","long","mean_date_BP","date_range","SNP_hits","assessment"
"ALA009","ALA009","SkourtaniontiCell2020","2020","/media/ydiekman/external2/Documents/__MAINZ/data/Skourtanioti_Cell_2020/ALA009.1240K.bam","Turkey_Alalakh_MLBA_contam","Hatay Province, Tell Atchana/Alalakh","Turkey",36.23778,36.38472,3699,"1869-1629 calBCE",105040,"QUESTIONABLE_CRITICAL (damage.ds.half=0.01, marked.in.paper.as.contaminated)"
"I7691","I7691","OlaldeScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Olalde_Science_2019/I7691_1240k.bam","Portugal_EBA","Évora, São Manços, Monte da Cabida 3","Portugal",39.6686,-8.1303,3900,"2200-1700 BCE",83535,"PASS"
"I7179","I7179","AgranatTamirCell2020","2020","/media/ydiekman/external2/Documents/__MAINZ/data/AgranatTamir_Cell_2020/BAM/I7179.hg19.bam","Israel_MLBA_lc","Yehud","Israel",32.032436,34.890611,3725,"2000-1550 BCE",5168,"PASS (no.mtcontam)"
"SEC005","I18967","MarcusNatureCommunications2020","2020","/media/ydiekman/external2/Documents/__MAINZ/data/Marcus_NatCom_2020/SEC005.A0101.TF.bam","Italy_Sardinia_LateC","Sennori, SS, Serra Crabiles, t.3","Italy",40.786192,8.595815,4348,"2469-2306 calBCE (3912±20 BP, MAMS-38292)",816153,"PASS (literature)"
"I11300","I11300","OlaldeScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Olalde_Science_2019/I11300_1240k.bam","Spain_MLN","Basque Country","Spain",43.0866,-2.2154,5050,"3500-2700 BCE",62908,"PASS"
"I11301","I11301","OlaldeScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Olalde_Science_2019/I11301_1240k.bam","Spain_MLN","Basque Country","Spain",43.0866,-2.2154,5050,"3500-2700 BCE",521706,"PASS"
"I8338","I8338","OlaldeScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Olalde_Science_2019/I8338_1240k.bam","Spain_Roman_oAegean","Girona, Empuries, necropolis Centre de Visitants","Spain",42.1333,3.1083,1800,"79-213 calCE (1900±20 BP, PSUAMS-8222)",45674,"PASS"
"I11303","I11303","OlaldeScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Olalde_Science_2019/I11303_1240k.bam","Spain_MLN","Barcelona, Cova de la Guineu","Spain",41.4391,1.5733,4900,"3400-2500 BCE",70137,"PASS"
"I11304_published","I11304","OlaldeScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Olalde_Science_2019/I11304_1240k.bam","Spain_MLN_published","Barcelona, Cova de la Guineu","Spain",41.4391,1.5733,4900,"3400-2500 BCE",68113,"PASS"
"I11305","I11305","OlaldeScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Olalde_Science_2019/I11305_1240k.bam","Spain_MLN","Barcelona, Cova de la Guineu","Spain",41.4391,1.5733,4900,"3400-2500 BCE",497661,"PASS (damage.ds.half=0.047)"
"I11306","I11306","OlaldeScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Olalde_Science_2019/I11306_1240k.bam","Spain_MLN","Barcelona, Cova de la Guineu","Spain",41.4391,1.5733,4900,"3400-2500 BCE",426351,"PASS (damage.ds.half=0.047)"
"VK352.SG","VK352","MargaryanWillerslevNature2020","2020","glob_finds_no_path","","","",NA,NA,NA,"",NA,""
"VK353.SG","VK353","MargaryanWillerslevNature2020","2020","glob_finds_no_path","","","",NA,NA,NA,"",NA,""
"VK350.SG","VK350","MargaryanWillerslevNature2020","2020","glob_finds_no_path","","","",NA,NA,NA,"",NA,""
"VK357.SG","VK357","MargaryanWillerslevNature2020","2020","glob_finds_no_path","","","",NA,NA,NA,"",NA,""
"VK354.SG","VK354","MargaryanWillerslevNature2020","2020","glob_finds_no_path","","","",NA,NA,NA,"",NA,""
"I12032_published","I12032","OlaldeScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Olalde_Science_2019/I12032_1240k.bam","Spain_Girona_Visigoth_published","Girona, Pla de l'Horta","Spain",42.01656,2.814897,1350,"500-700 CE",214998,"PASS"
"VK358.SG","VK358","MargaryanWillerslevNature2020","2020","glob_finds_no_path","","","",NA,NA,NA,"",NA,""
"VK359.SG","VK359","MargaryanWillerslevNature2020","2020","glob_finds_no_path","","","",NA,NA,NA,"",NA,""
"I12031","I12031","OlaldeScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Olalde_Science_2019/I12031_1240k.bam","Spain_Girona_Visigoth","Girona, Pla de l'Horta","Spain",42.01656,2.814897,1350,"500-700 CE",562386,"PASS"
"VK190.SG","VK190","MargaryanWillerslevNature2020","2020","glob_finds_no_path","","","",NA,NA,NA,"",NA,""
"VK191.SG","VK191","MargaryanWillerslevNature2020","2020","glob_finds_no_path","","","",NA,NA,NA,"",NA,""
"VK193.SG","VK193","MargaryanWillerslevNature2020","2020","glob_finds_no_path","","","",NA,NA,NA,"",NA,""
"VK196.SG","VK196","MargaryanWillerslevNature2020","2020","glob_finds_no_path","","","",NA,NA,NA,"",NA,""
"VK114.SG","VK114","MargaryanWillerslevNature2020","2020","glob_finds_no_path","","","",NA,NA,NA,"",NA,""
